year,parent,child,count
2008,문화·예술 리뷰,책,19
2008,문화·예술 리뷰,영화,12
2008,문화·예술 리뷰,음악,1
2008,문화·예술 리뷰,공연·전시·문화·예술,17
2008,문화·예술 리뷰,미술·디자인,10
2008,문화·예술 리뷰,드라마·방송,6
2008,문화·예술 리뷰,만화·애니,5
2008,문화·예술 리뷰,게임,5
2008,여행·레저·지역,여행,57
2008,여행·레저·지역,캠핑,2
2008,여행·레저·지역,등산·낚시·레저,6
2008,여행·레저·지역,지역·해외생활,12
2008,맛집·식도락,맛집,44
2008,맛집·식도락,와인·술,6
2008,맛집·식도락,차·커피·디저트,9
2008,사진·창작·수집,사진,48
2008,사진·창작·수집,웹툰·페인팅·일러스트,31
2008,사진·창작·수집,자필문학·에세이,15
2008,사진·창작·수집,토이·모형·수집,15
2008,IT·스포츠·자동차 ,IT·웹·프로그램,7
2008,IT·스포츠·자동차 ,스포츠,7
2008,IT·스포츠·자동차 ,자동차,5
2008,IT·스포츠·자동차 ,철도·항공·교통,6
2008,IT·스포츠·자동차 ,음향·영상,5
2008,학술·시사·경제·교육,시사·인문·경제,15
2008,학술·시사·경제·교육,교육·외국어,9
2008,학술·시사·경제·교육,과학·자연관찰,4
2008,일상·육아·자연,일상,30
2008,일상·육아·자연,육아,8
2008,일상·육아·자연,애완·반려동물,10
2008,일상·육아·자연,원예·재배,16
2008,요리·인테리어·DIY·뷰티,요리,71
2008,요리·인테리어·DIY·뷰티,가구·인테리어,20
2008,요리·인테리어·DIY·뷰티,생활공예,40
2008,요리·인테리어·DIY·뷰티,패션·뷰티,11
2009,문화·예술 리뷰,책,22
2009,문화·예술 리뷰,영화,16
2009,문화·예술 리뷰,음악,10
2009,문화·예술 리뷰,공연·전시·문화·예술,23
2009,문화·예술 리뷰,미술·디자인,12
2009,문화·예술 리뷰,드라마·방송,7
2009,문화·예술 리뷰,만화·애니,6
2009,문화·예술 리뷰,게임,5
2009,여행·레저·지역,여행,70
2009,여행·레저·지역,캠핑,5
2009,여행·레저·지역,등산·낚시·레저,7
2009,여행·레저·지역,지역·해외생활,23
2009,맛집·식도락,맛집,51
2009,맛집·식도락,와인·술,7
2009,맛집·식도락,차·커피·디저트,10
2009,사진·창작·수집,사진,60
2009,사진·창작·수집,웹툰·페인팅·일러스트,46
2009,사진·창작·수집,자필문학·에세이,23
2009,사진·창작·수집,토이·모형·수집,22
2009,IT·스포츠·자동차 ,IT·웹·프로그램,13
2009,IT·스포츠·자동차 ,스포츠,11
2009,IT·스포츠·자동차 ,자동차,10
2009,IT·스포츠·자동차 ,철도·항공·교통,7
2009,IT·스포츠·자동차 ,음향·영상,6
2009,학술·시사·경제·교육,시사·인문·경제,22
2009,학술·시사·경제·교육,교육·외국어,11
2009,학술·시사·경제·교육,과학·자연관찰,9
2009,일상·육아·자연,일상,36
2009,일상·육아·자연,육아,9
2009,일상·육아·자연,애완·반려동물,11
2009,일상·육아·자연,원예·재배,22
2009,요리·인테리어·DIY·뷰티,요리,80
2009,요리·인테리어·DIY·뷰티,가구·인테리어,22
2009,요리·인테리어·DIY·뷰티,생활공예,49
2009,요리·인테리어·DIY·뷰티,패션·뷰티,18
2010,문화·예술 리뷰,책,17
2010,문화·예술 리뷰,영화,12
2010,문화·예술 리뷰,음악,8
2010,문화·예술 리뷰,공연·전시·문화·예술,21
2010,문화·예술 리뷰,미술·디자인,7
2010,문화·예술 리뷰,드라마·방송,4
2010,문화·예술 리뷰,만화·애니,4
2010,문화·예술 리뷰,게임,10
2010,여행·레저·지역,여행,47
2010,여행·레저·지역,캠핑,6
2010,여행·레저·지역,등산·낚시·레저,9
2010,여행·레저·지역,지역·해외생활,21
2010,맛집·식도락,맛집,42
2010,맛집·식도락,와인·술,5
2010,맛집·식도락,차·커피·디저트,11
2010,사진·창작·수집,사진,39
2010,사진·창작·수집,웹툰·페인팅·일러스트,33
2010,사진·창작·수집,자필문학·에세이,14
2010,사진·창작·수집,토이·모형·수집,13
2010,IT·스포츠·자동차 ,IT·웹·프로그램,14
2010,IT·스포츠·자동차 ,스포츠,11
2010,IT·스포츠·자동차 ,자동차,10
